Coursename,Coursecode,Hours,Classification
Pediatric Acute Care Management I: Clinical,N 294R,2,Graduate
Pediatric Acute Care Management II,N 394S,3,Graduate
Pediatric Acute Care Management II: Clinical,"N 294T, 394T","2, 3",Graduate
Pediatric Acute Care Advanced Practicum,N 594U,5,Graduate
Child & Adolescent Psychiatric Mental Health for Primary Care,N 394V,3,Graduate
Pediatric Clinical Pharmacology and Therapeutics in Acute Care,"N 294W, 394W","2, 3",Graduate
Clinical Pharmacology and Therapeutics,N 395C,3,Graduate
Pediatric Clinical Pharmacology and Therapeutics,N 395D,3,Graduate
Theoretical Foundations for Nursing Practice,N 395F,3,Graduate
Biostatistics,N 395N,3,Graduate
Health Care Economics,N 395P,3,Graduate
Professional Practice of the FNP,N 295Q,2,Graduate
Advanced Pathophysiology,N 396C,3,Graduate
Advanced Health Assessment,N 396J,3,Graduate
Primary Health Care Concepts I,N 396L,3,Graduate
